Function Code;Modbus address;Object designation;WPMsystem;WPM 3;WPM 3i;Comments;Min. value;Max. value;Step size;Data type;Unit;Write/read (w/r);Coding
0x04;543;FLOW TEMPERATURE HP1;x;x;;Heat pump 1;;;;2;°C;r;
0x04;544;HOT GAS TEMPERATURE HP1;x;x;;Heat pump 1;;;;2;°C;r;
0x04;545;LOW PRESSURE HP1;x;x;;Heat pump 1;;;;7;bar;r;
0x04;546;MEAN PRESSURE HP1;x;x;;Heat pump 1;;;;7;bar;r;
0x04;547;HIGH PRESSURE HP1;x;x;;Heat pump 1;;;;7;bar;r;
0x04;548;WP WATER FLOW RATE HP1;x;x;;Heat pump 1;;;;2;l/min;r;
0x04;549;RETURN TEMPERATURE HP2;x;x;;Heat pump 2;;;;2;°C;r;
0x04;550;FLOW TEMPERATURE HP2;x;x;;Heat pump 2;;;;2;°C;r;
0x04;551;HOT GAS TEMPERATURE HP2;x;x;;Heat pump 2;;;;2;°C;r;
0x04;552;LOW PRESSURE HP2;x;x;;Heat pump 2;;;;7;bar;r;
0x04;553;MEAN PRESSURE HP2;x;x;;Heat pump 2;;;;7;bar;r;
0x04;554;HIGH PRESSURE HP2;x;x;;Heat pump 2;;;;7;bar;r;
0x04;555;WP WATER FLOW RATE HP2;x;x;;Heat pump 2;;;;2;l/min;r;
0x04;556;RETURN TEMPERATURE HP3;x;x;;Heat pump 3;;;;2;°C;r;
0x04;557;FLOW TEMPERATURE HP3;x;x;;Heat pump 3;;;;2;°C;r;
0x04;558;HOT GAS TEMPERATURE HP3;x;x;;Heat pump 3;;;;2;°C;r;
0x04;559;LOW PRESSURE HP3;x;x;;Heat pump 3;;;;7;bar;r;
0x04;560;MEAN PRESSURE HP3;x;x;;Heat pump 3;;;;7;bar;r;
0x04;561;HIGH PRESSURE HP3;x;x;;Heat pump 3;;;;7;bar;r;
0x04;562;WP WATER FLOW RATE HP3;x;x;;Heat pump 3;;;;2;l/min;r;
0x04;563;RETURN TEMPERATURE HP4;x;x;;Heat pump 4;;;;2;°C;r;
0x04;564;FLOW TEMPERATURE HP4;x;x;;Heat pump 4;;;;2;°C;r;
0x04;565;HOT GAS TEMPERATURE HP4;x;x;;Heat pump 4;;;;2;°C;r;
0x04;566;LOW PRESSURE HP4;x;x;;Heat pump 4;;;;7;bar;r;
0x04;567;MEAN PRESSURE HP4;x;x;;Heat pump 4;;;;7;bar;r;
0x04;568;HIGH PRESSURE HP4;x;x;;Heat pump 4;;;;7;bar;r;
0x04;569;WP WATER FLOW RATE HP4;x;x;;Heat pump 4;;;;2;l/min;r;
0x04;570;RETURN TEMPERATURE HP5;x;x;;Heat pump 5;;;;2;°C;r;
0x04;571;FLOW TEMPERATURE HP5;x;x;;Heat pump 5;;;;2;°C;r;
0x04;572;HOT GAS TEMPERATURE HP5;x;x;;Heat pump 5;;;;2;°C;r;
0x04;573;LOW PRESSURE HP5;x;x;;Heat pump 5;;;;7;bar;r;
0x04;574;MEAN PRESSURE HP5;x;x;;Heat pump 5;;;;7;bar;r;
0x04;575;HIGH PRESSURE HP5;x;x;;Heat pump 5;;;;7;bar;r;
0x04;576;WP WATER FLOW RATE HP5;x;x;;Heat pump 5;;;;2;l/min;r;
0x04;577;RETURN TEMPERATURE HP6;x;x;;Heat pump 6;;;;2;°C;r;
0x04;578;FLOW TEMPERATURE HP6;x;x;;Heat pump 6;;;;2;°C;r;
0x04;579;HOT GAS TEMPERATURE HP6;x;x;;Heat pump 6;;;;2;°C;r;
0x04;580;LOW PRESSURE HP6;x;x;;Heat pump 6;;;;7;bar;r;
0x04;581;MEAN PRESSURE HP6;x;x;;Heat pump 6;;;;7;bar;r;
0x04;582;HIGH PRESSURE HP6;x;x;;Heat pump 6;;;;7;bar;r;
0x04;583;WP WATER FLOW RATE HP6;x;x;;Heat pump 6;;;;2;l/min;r;
0x04;584;ACTUAL TEMPERATURE heating circuit 1;x;;;Room temperature, heating circuit 1;;;;2;°C;r;
0x04;585;SET TEMPERATURE heating circuit 1;x;;;Room temperature, heating circuit 1;;;;2;°C;r;
0x04;586;RELATIVE HUMIDITY heating circuit 1;x;;;Heating circuit 1;;;;2;%;r;
0x04;587;DEW POINT TEMPERATURE heating circuit 1;x;;;Heating circuit 1;;;;2;°C;r;
0x04;588;ACTUAL TEMPERATURE heating circuit 2;x;;;Room temperature, heating circuit 2;;;;2;°C;r;
